epoch,autocorr_step_0,autocorr_step_1,autocorr_step_2,autocorr_step_3,autocorr_step_4,autocorr_step_5,autocorr_step_6,autocorr_step_7,free_fid,clamped_fid
0,0.0,0.0,5.4115394050313625e-06,0.00012524737394414842,0.00042065413435921073,0.0,8.760811761021614e-05,0.0005739295156672597,311.76,311.51
1,0.001197312492877245,0.0,0.00024812016636133194,0.0011503520654514432,0.000969593005720526,0.0008149578934535384,0.002114061499014497,0.029814550653100014,65.7,53.09
2,0.0,0.0007982097449712455,0.001892097294330597,0.0,0.0008099908009171486,0.0023344052024185658,0.021800482645630836,0.018003402277827263,54.52,42.6
3,0.0,0.0006901024607941508,0.0,6.671363735222258e-06,0.0015377637464553118,0.001373869483359158,0.02523445338010788,0.022069072350859642,42.69,36.74
4,0.0,0.0,0.0,0.0,0.001222277875058353,0.013953123241662979,0.03153841570019722,0.02132599987089634,39.27,35.26
5,0.009061943739652634,0.0027292196173220873,0.0,0.002550255274400115,0.0027194248978048563,0.03142930194735527,0.02468283101916313,0.02031165361404419,44.0,32.97
6,0.002628711052238941,0.001674417406320572,0.0038417470641434193,0.007327584084123373,0.009914885275065899,0.032389819622039795,0.0278655756264925,0.02220466360449791,42.43,30.11
7,0.0,0.0017155611421912909,0.0006667982670478523,0.01310749538242817,0.011611901223659515,0.035255514085292816,0.015689436346292496,0.028316516429185867,34.62,30.39
8,0.018540024757385254,0.0010319484863430262,0.00682417256757617,0.018864015117287636,0.013657571747899055,0.026918208226561546,0.010893668048083782,0.023180080577731133,35.32,29.86
9,0.0,0.0029209740459918976,0.01164278481155634,0.010888069868087769,0.013980589807033539,0.023943454027175903,0.014104052446782589,0.028151489794254303,31.8,30.77
10,0.010452719405293465,0.005075548309832811,0.006592280697077513,0.007396302651613951,0.013951290398836136,0.01865025982260704,0.009001473896205425,0.028563136234879494,31.39,30.23
11,0.018895182758569717,0.00811203196644783,0.005019780248403549,0.008503397926688194,0.01594391092658043,0.021240966394543648,0.013643882237374783,0.026420632377266884,38.15,28.75
12,0.002328569767996669,0.003739504376426339,0.025416353717446327,0.008296152576804161,0.004922959022223949,0.012735907919704914,0.00820133462548256,0.024700431153178215,34.01,29.05
13,0.011578811332583427,0.002644605003297329,0.047048091888427734,0.011973271146416664,0.005952310282737017,0.009723751805722713,0.009481574408710003,0.030231282114982605,31.56,29.56
14,0.025448182597756386,0.0030731845181435347,0.05854204669594765,0.009581226855516434,0.018995219841599464,0.005310071166604757,0.0028878729790449142,0.026756862178444862,29.88,28.36
15,0.030153606086969376,0.009778816252946854,0.0555531308054924,0.012070107273757458,0.012920716777443886,0.004286575596779585,0.01027476042509079,0.026674559339880943,32.8,28.58
16,0.00815629679709673,0.005274351220577955,0.05236278474330902,0.008327916264533997,0.021357912570238113,0.006001490168273449,0.009206503629684448,0.023383229970932007,33.79,28.81
17,0.0016019366448745131,0.004432415124028921,0.046759232878685,0.009952451102435589,0.02124457247555256,0.01599596068263054,0.0065994104370474815,0.027769755572080612,29.82,28.87
18,0.022429218515753746,0.010158820077776909,0.035449594259262085,0.006331193260848522,0.0183574166148901,0.020072197541594505,0.013205597177147865,0.030355125665664673,30.39,27.84
19,0.0317687913775444,0.007264338433742523,0.029423313215374947,0.014722485095262527,0.018722660839557648,0.012697232887148857,0.009673982858657837,0.023329759016633034,29.69,28.4
20,0.028665462508797646,0.006963260471820831,0.03753769397735596,0.011094796471297741,0.008875138126313686,0.012248503975570202,0.01149560697376728,0.02031647227704525,29.34,28.07
21,0.015972889959812164,0.009051015600562096,0.017729299142956734,0.011327947489917278,0.0142603050917387,0.0136526208370924,0.011913989670574665,0.029188217595219612,29.96,28.81
22,0.017350545153021812,0.008054260164499283,0.009682415053248405,0.005105413030833006,0.007051878608763218,0.009598201140761375,0.005047324579209089,0.017546189948916435,28.17,27.29
23,0.022900372743606567,0.012740027159452438,0.02591831237077713,0.015469270758330822,0.008279661647975445,0.009623811580240726,0.007531311362981796,0.02616698481142521,29.09,27.96
24,0.03892071172595024,0.003464457578957081,0.008731478825211525,0.014567521400749683,0.00498743262141943,0.007697401102632284,0.008677446283400059,0.018893329426646233,29.19,28.73
25,0.013093935325741768,0.011643068864941597,0.005849148612469435,0.008097047917544842,0.010481256991624832,0.003070494392886758,0.01213013380765915,0.01817828044295311,30.08,29.07
26,0.010067562572658062,0.013490107841789722,0.005376764573156834,0.013649418950080872,0.004316341131925583,0.007240594364702702,0.009636458940804005,0.017575683072209358,30.19,29.6
27,0.01716376282274723,0.01538696140050888,0.004905511159449816,0.006319005973637104,0.007341121789067984,0.012584632262587547,0.006463055964559317,0.011610140092670918,30.24,30.05
28,0.008594234474003315,0.010979142971336842,0.006595495156943798,0.014055518433451653,0.004650651477277279,0.01314462535083294,0.010419019497931004,0.012996901758015156,33.06,29.95
