epoch,autocorr_step_0,autocorr_step_1,autocorr_step_2,autocorr_step_3,autocorr_step_4,autocorr_step_5,autocorr_step_6,autocorr_step_7,free_fid,clamped_fid
0,0.0,0.0,5.552938546316e-06,0.00012530977255664766,0.0004207208985462785,0.0,8.770902786636725e-05,0.000573793426156044,311.82,311.57
1,0.001197759760543704,0.0,0.0002478541573509574,0.00031957626924850047,0.0009697764180600643,0.0011736039305105805,0.0021141075994819403,0.01647753268480301,88.26,55.8
2,0.0,0.0025510250125080347,0.0018922423478215933,0.0,0.0008102525025606155,0.003615210298448801,0.02179953083395958,0.01962166652083397,56.12,42.48
3,0.0,0.0,0.0,0.0014303320785984397,0.0015374795766547322,0.002929345704615116,0.032691530883312225,0.01716333068907261,51.99,38.46
4,0.0,0.0021306846756488085,0.0,0.002308291383087635,0.001222315477207303,0.015523548237979412,0.05441199243068695,0.021030953153967857,36.55,35.31
5,0.009062480181455612,0.0013084509409964085,0.0,0.002498155226930976,0.0027192856650799513,0.059139102697372437,0.04478900879621506,0.02094823494553566,40.78,32.13
6,0.014188989996910095,0.002286444650962949,0.003841436468064785,0.006944878492504358,0.009915272705256939,0.07985664159059525,0.053751200437545776,0.02880745753645897,30.05,30.14
7,0.0004058819031342864,0.003363248659297824,0.0006671927985735238,0.01255942415446043,0.04786659777164459,0.06674600392580032,0.05005773529410362,0.021726209670305252,36.17,31.11
8,0.005198207218199968,0.001578015391714871,0.0068237739615142345,0.040383413434028625,0.09941736608743668,0.07321358472108841,0.043386004865169525,0.02386975660920143,29.68,29.08
9,0.016129160299897194,0.00887758657336235,0.011642767116427422,0.11302149295806885,0.12764732539653778,0.08542690426111221,0.05082321912050247,0.0231240913271904,32.77,28.78
10,0.005820283200591803,0.003380801063030958,0.020655019208788872,0.15357978641986847,0.1101348027586937,0.08233727514743805,0.048925552517175674,0.02438228949904442,39.63,30.61
11,0.02590879052877426,0.007553554140031338,0.02666076272726059,0.1622011363506317,0.09971040487289429,0.07517555356025696,0.05166776105761528,0.024261169135570526,29.95,28.59
12,0.06141025573015213,0.007006718777120113,0.09261062741279602,0.12615226209163666,0.09891152381896973,0.0661143884062767,0.047106966376304626,0.02033173106610775,34.76,29.37
13,0.06830479204654694,0.008816918358206749,0.14114144444465637,0.12765219807624817,0.09172637015581131,0.06017155945301056,0.04771487042307854,0.026797741651535034,37.51,31.13
14,0.13189388811588287,0.012026354670524597,0.17863856256008148,0.09427499771118164,0.07601914554834366,0.058775365352630615,0.04043608903884888,0.023001383990049362,35.47,31.88
15,0.17449632287025452,0.035294290632009506,0.19812829792499542,0.0955679714679718,0.08005645871162415,0.07251615077257156,0.054089125245809555,0.02050463855266571,38.13,30.97
16,0.2201402485370636,0.05370035022497177,0.18837718665599823,0.0916408970952034,0.08212409913539886,0.057493697851896286,0.042348314076662064,0.01833971217274666,40.98,32.34
17,0.2614528238773346,0.08542189747095108,0.207497701048851,0.0956878811120987,0.08882878720760345,0.049540553241968155,0.043132293969392776,0.02076108194887638,35.24,30.41
18,0.3571889400482178,0.12270553410053253,0.1598973125219345,0.10212009400129318,0.08411718159914017,0.06088991463184357,0.04878309741616249,0.027139492332935333,36.38,30.95
19,0.3985775411128998,0.1420874446630478,0.16747257113456726,0.08813852071762085,0.05647441744804382,0.0558946393430233,0.04042280092835426,0.019430559128522873,40.63,32.16
20,0.4926595985889435,0.17954309284687042,0.16268014907836914,0.08213897794485092,0.06277132034301758,0.05240100622177124,0.03988396376371384,0.02051529847085476,35.97,31.49
21,0.5193817019462585,0.1915854811668396,0.14111328125,0.09010248631238937,0.06668226420879364,0.0672931969165802,0.04561128839850426,0.026043901219964027,38.29,34.27
