epoch,autocorr_step_0,free_fid,clamped_fid
0,0,311,311
1,0.5389077067375183,310.9941807137027,311.2411682351774
2,0.5349005460739136,93.21899261352513,84.55088862788614
3,0.6008080244064331,55.921103523691954,51.739959234708266
4,0.6686954498291016,47.53047901873063,45.77895384201281
5,0.6399081945419312,39.98530481752226,38.6066893948522
6,0.6817771196365356,37.08350666503895,35.52375308025603
7,0.6929671168327332,42.479008419250334,36.34621453404958
8,0.6844689846038818,37.98864975731897,34.86379110012413
9,0.6780938506126404,37.667094532412534,36.370131666607705
10,0.6679301261901855,45.151935377745644,43.187028860484475
11,0.6401091814041138,60.7882591272994,58.51698043673082
12,0.6174753904342651,69.5008704263739,67.78497450902574
13,0.5873117446899414,77.91022242927338,75.1736447064502
14,0.5502694845199585,83.86547830104342,82.63622768682927
15,0.5654199123382568,89.97199656583447,90.93841625310492
16,0.5338169932365417,101.54401655470298,100.64974201142377
17,0.5265342593193054,107.10030593355881,105.46888948015345
18,0.5334071516990662,108.19808289471547,107.18027638387031
19,0.5358224511146545,112.74297859993214,108.40390395689235
20,0.5311161875724792,109.96454488006975,107.80410219305995
21,0.5659886598587036,112.3424006895136,109.64161765319056
22,0.5332374572753906,117.4950513768892,113.73402902126713
23,0.5210087299346924,128.20706076517882,125.81209032803059
24,0.4856882691383362,137.58484152872487,136.87989795712264
25,0.44986778497695923,142.4125136229373,141.9749720723975
26,0.4935157299041748,144.92706543874652,145.1306210002651
27,0.41470351815223694,148.56919800897802,147.8093400429253
28,0.44274792075157166,148.5942453400963,148.66169518469368
29,0.4264179766178131,145.38306886914916,146.65595458425997
30,0.41555675864219666,148.9608006755056,147.66221785768334
31,0.4047415852546692,151.4860376981198,151.6508305040276
32,0.43839937448501587,148.58759220472524,148.76289043778866
33,0.4260345995426178,151.6535043730998,151.33482090316784
34,0.36266380548477173,156.46790994490772,155.7463957982818
35,0.45834052562713623,158.10826168563764,157.18217654663272
36,0.3509286046028137,159.350925280525,157.9053034070042
37,0.42049533128738403,160.9083085916633,159.97384791293442
38,0.41013216972351074,166.85967222404273,162.9644554764601
39,0.4306626319885254,166.15205653521687,163.09483443031172
40,0.39943835139274597,165.21060385043424,162.26341736692342
41,0.36993780732154846,161.23639089424393,158.55652385176057
42,0.418485164642334,168.34484491358862,165.11623824680711
43,0.42002105712890625,165.5101848086897,162.05031712284315
44,0.4014712870121002,166.35404750056722,163.271859152086
45,0.4061102867126465,169.91740923263305,166.52564834284715
46,0.45440059900283813,170.2872339107586,165.9238554852387
47,0.43038612604141235,168.65961400821044,166.32546142707878
48,0.45015203952789307,170.57858926977912,166.69759605668372
49,0.47301772236824036,169.5196249008367,165.56644160621528
50,0.4372822344303131,166.4666868968223,163.8740119088983
51,0.4343266189098358,166.51632027500162,163.51316500802758
