epoch,autocorr_step_0,autocorr_step_1,autocorr_step_2,autocorr_step_3,free_fid,clamped_fid
1,0.0006541477050632238,0.0,0.001951246173121035,0.08022861927747726,311.545326545957,311.1314685329244
2,0.001662455266341567,0.0,0.002900306601077318,0.05852185934782028,66.03538220061779,61.082202804355575
3,0.0,0.0003897589340340346,0.025498591363430023,0.049949128180742264,61.640333713499984,53.965466732784535
4,0.006469021085649729,0.0,0.08528256416320801,0.05879172310233116,56.72369974390122,54.13014429958227
5,0.0016165312845259905,0.0017633256502449512,0.06259064376354218,0.06199399754405022,53.54970490132257,52.57579011247768
6,0.007578977383673191,0.0001439660700270906,0.05221225693821907,0.05722234025597572,52.39351113015948,51.96702519847824
7,0.0019422334153205156,0.00195509847253561,0.04112572595477104,0.0659918338060379,52.24694911454654,52.52985511949498
8,0.007217465899884701,0.0024125424679368734,0.03089919313788414,0.046654973179101944,52.054202983798945,50.263588582737356
9,0.01122575718909502,0.00612088805064559,0.017737271264195442,0.055628955364227295,51.428180245709484,50.11141125085902
10,0.011224837973713875,0.00806465931236744,0.029721882194280624,0.058863043785095215,50.157370223779026,48.888011962125034
11,0.011505570262670517,0.011061998084187508,0.02692720852792263,0.06266625225543976,50.91297794568382,48.51770590426895
12,0.021312708035111427,0.014756514690816402,0.01824147254228592,0.0508403442800045,51.8069137249758,48.52339859428943
13,0.01595817133784294,0.015309046022593975,0.025706185027956963,0.05867511034011841,49.535278855803085,47.549729521805375
14,0.02213367447257042,0.01967400684952736,0.014654896222054958,0.050689954310655594,54.49123064733428,49.12344334464029
15,0.020998699590563774,0.02819584496319294,0.016976742073893547,0.06295757740736008,50.726239591153444,47.46043002711059
16,0.01827359013259411,0.023759987205266953,0.016132472082972527,0.051099423319101334,52.53464432480456,49.48626949435584
17,0.017671188339591026,0.03643268346786499,0.015813613310456276,0.05559227243065834,48.70769345213981,47.13315921167458
18,0.02005762979388237,0.047429490834474564,0.011038806289434433,0.055747441947460175,51.05890274804247,46.87231050418154
19,0.02270127460360527,0.04470737650990486,0.01744580641388893,0.05363543704152107,49.998645305786454,48.52652891904424
20,0.024418659508228302,0.06654345244169235,0.014557779766619205,0.047983814030885696,54.637404613419534,50.95971951210748
