epoch,autocorr_step_0,autocorr_step_1,autocorr_step_2,autocorr_step_3,free_fid,clamped_fid
1,0.005417345091700554,0.0006928447401151061,0.01079134363681078,0.06503496319055557,311.545326545957,311.1314685329244
2,0.0,0.0005284898215904832,0.003328150138258934,0.06168777495622635,54.83534996451766,48.764816678443935
3,0.006668142043054104,0.00021263983217068017,0.0046394821256399155,0.05983111634850502,45.804506275240755,41.091988695602055
4,0.0007209594477899373,0.0,0.01201046071946621,0.05303441733121872,43.735079766053246,37.04699702355214
5,0.0025760780554264784,0.0039928145706653595,0.04141996428370476,0.07514544576406479,44.95202536707839,35.80776779047224
6,0.024940211325883865,0.0043694255873560905,0.053472500294446945,0.0696987435221672,37.45221546635034,33.71440045423856
7,0.03845951706171036,0.00895471777766943,0.06816407293081284,0.08349767327308655,34.962943500130365,32.475774636297984
8,0.04010418429970741,0.021220019087195396,0.05802413448691368,0.06377427279949188,36.438874090777176,31.761266304566362
9,0.06238551437854767,0.06595110893249512,0.06374236196279526,0.0617595911026001,32.546924471390724,31.602852418806037
10,0.0794312059879303,0.08242309093475342,0.03881290182471275,0.06531301885843277,31.385168774513005,29.58889281456436
11,0.10010775178670883,0.11276594549417496,0.05187978222966194,0.06584982573986053,31.97364696235684,28.581479627828628
12,0.09121295809745789,0.10224340856075287,0.033497389405965805,0.06507225334644318,33.40231245270189,31.040958512197108
13,0.10437240451574326,0.10994589328765869,0.032420288771390915,0.07842009514570236,31.496325215657322,30.6985775366916
14,0.07402274012565613,0.10075847059488297,0.025090739130973816,0.06315131485462189,33.90163421442318,32.39634835311341
15,0.08307705074548721,0.11565359681844711,0.021723877638578415,0.07381563633680344,35.78803527255309,33.50025042190234
16,0.060709789395332336,0.06778557598590851,0.027182726189494133,0.07052884250879288,34.89007553334801,33.163682179118894
17,0.05999330058693886,0.048328947275877,0.024389538913965225,0.0640781968832016,35.17208759528654,33.88539918919676
18,0.05447648465633392,0.028014443814754486,0.02352667786180973,0.06482145935297012,37.08864582122544,35.07031851628085
19,0.07882683724164963,0.018784092739224434,0.023289969190955162,0.07082729786634445,37.317543610470864,34.89931023267107
20,0.06878965348005295,0.03688457980751991,0.033575236797332764,0.060922183096408844,39.8129919874153,35.936161580862716
