epoch,autocorr_step_0,autocorr_step_1,autocorr_step_2,autocorr_step_3,free_fid,clamped_fid
1,0.0008218302391469479,0.0014735349686816335,0.0033964028116315603,0.06214803084731102,311.23963870093326,311.44442220802057
2,0.0,0.0,0.001373783452436328,0.03662833571434021,51.058554700278364,47.93519843477418
3,0.01021831389516592,0.0005789407296106219,0.010403484106063843,0.043068528175354004,57.50482677670047,44.02814798815467
4,0.00871303305029869,0.0,0.023414453491568565,0.030802065506577492,45.54543123038002,39.15444756283003
5,0.0163678377866745,0.005704911891371012,0.021531512960791588,0.058197520673274994,51.8183824835059,37.459305001957716
6,0.006701793521642685,0.0034005960915237665,0.0410517156124115,0.04747680574655533,41.292182578290806,36.23166036138201
7,0.01377870887517929,0.004050881136208773,0.06132592633366585,0.06759952008724213,43.06117238145478,34.75243073298586
8,0.017956525087356567,0.010059742256999016,0.062223441898822784,0.047689419239759445,38.34271568437964,34.64866494934506
9,0.02008388191461563,0.019373664632439613,0.04509638622403145,0.05740184709429741,35.66819636866822,33.18296598544654
10,0.024747032672166824,0.01866965740919113,0.03918744623661041,0.06062339246273041,34.80306352665903,33.531850623418734
11,0.03794471547007561,0.027470087632536888,0.032835062593221664,0.05774334445595741,35.774266485299904,33.698467625265835
12,0.05540170148015022,0.056713588535785675,0.02611173316836357,0.04872162640094757,36.80820247989553,33.26108976105317
13,0.03475245088338852,0.07564018666744232,0.02916024811565876,0.054795797914266586,40.299504995271235,35.31284016745269
14,0.05494088679552078,0.09628098458051682,0.031438421458005905,0.04710330441594124,47.11554780771121,35.87392882818247
15,0.04475174471735954,0.10604903846979141,0.019530389457941055,0.06466180086135864,36.684634819007016,33.98772072786002
16,0.053557030856609344,0.0905790701508522,0.009630504995584488,0.05538468807935715,40.705283504307346,35.47637395735964
17,0.03701396659016609,0.08419764041900635,0.015351646579802036,0.048334550112485886,37.832029166305915,35.093499105045225
18,0.0507349856197834,0.06408829241991043,0.011972062289714813,0.057865891605615616,36.90067021254902,35.46391733180042
19,0.05826885253190994,0.04442519694566727,0.021184567362070084,0.05075351148843765,38.72241552345349,36.52165018581567
20,0.03699607029557228,0.05370553955435753,0.020610392093658447,0.045798152685165405,45.6043589545157,38.50038456662696
